Species,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Lepisorus_scolopendrium,1,0,1,0,1,1,0,0,1,0,0,0,2,1,1,0,2,0,0,0,0,0,1,1,0
Lepisorus_sinensis,1,0,1,1,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,?,2
Lepisorus_sordidus,1,0,1,1,0,1,1,0,0,0,2,0,0,1,0,0,1,0,0,0,0,1,1,?,2
Lepisorus_soulieanus,1,0,1,0,1,0,1,0,1,0,0,0,2,1,0,0,1,0,0,1,0,2,0,1,1
Lepisorus_spicatus,1,0,1,0,1,1,1,0,0,0,2,0,1,1,0,1,1,0,1,0,0,1,0,?,2
Lepisorus_subconfluens,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Lepisorus_sublinearis,1,0,1,0,1,1,1,0,0,0,2,0,0,?,0,0,1,0,0,0,0,1,0,?,2
Lepisorus_suboligolepidus,1,0,1,1,0,1,1,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,1,1,2
Lepisorus_subsessilis,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,?,1
Lepisorus_thunbergianus,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
Lepisorus_tibeticus,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,?,0
Lepisorus_tosaensis,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
Lepisorus_uchiyamae,1,0,1,0,1,1,1,0,0,0,0,0,2,1,0,0,1,0,0,0,0,2,1,1,?
Lepisorus_ussuriensis,0,0,1,0,1,1,1,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,1,1,0
Lepisorus_ussuriensis_var_distans,0,0,1,0,1,1,1,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,1,1,0
Lepisorus_waltonii,1,0,1,0,1,0,1,0,1,0,3,1,2,1,0,0,1,0,0,1,0,2,0,1,1
Leptochilus_ellipticus,1,0,1,0,1,0,1,0,1,0,3,2,1,1,1,0,1,2,1,0,1,_,_,1,1
Microsorum_membranaceum,1,0,0,0,1,0,0,0,1,0,2,0,1,1,1,0,3,1,0,0,1,_,_,1,0
Microsorum_punctatum,1,1,0,0,1,0,1,0,0,0,2,0,1,1,0,0,3,1,0,0,1,_,_,1,0
Neocheiropteris_palmatopedata,1,0,0,0,1,0,1,1,0,0,3,1,1,1,1,0,2,2,0,0,0,0,0,1,1
Neolepisorus_ensatus,1,0,0,0,1,0,1,0,0,0,2,0,1,1,1,0,1,1,0,0,0,0,0,1,3
Neolepisorus_fortunei,1,0,0,0,1,1,1,0,0,0,1,0,2,1,1,0,2,1,0,0,0,3,2,1,0
Neolepisorus_ovatus,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,3,1,0,0,0,0,0,1,3
Neolepisorus_zippelii,1,0,1,0,1,0,1,0,0,0,2,0,2,1,1,0,1,1,0,0,0,3,2,1,3
Thylacopteris_papillosa,1,0,1,0,1,1,1,0,0,0,3,2,1,1,1,0,1,2,0,0,1,_,_,1,?
Tricholepidium_maculosum,1,0,0,0,1,1,1,1,1,0,0,0,2,1,1,0,3,1,0,0,0,0,1,1,2
Tricholepidium_normale,1,0,0,0,1,1,1,1,1,0,0,0,2,1,1,0,3,1,0,0,0,0,1,1,2
